episodio,recompensa,passos,sucesso,epsilon
0,-5719.1000000000095,295,1,1.0
1,-7471.400000000023,300,0,0.995
2,-1556.599999999995,132,1,0.990025
3,-6325.900000000009,300,0,0.985074875
4,-7703.600000000022,300,0,0.9801495006250001
5,-9733.700000000032,300,0,0.9752487531218751
6,-5793.100000000019,269,1,0.9703725093562657
7,-6398.800000000027,300,0,0.9655206468094844
8,-334.1999999999995,90,1,0.960693043575437
9,-7385.400000000022,300,0,0.9558895783575597
10,-6443.900000000023,300,0,0.9511101304657719
11,-494.499999999999,68,1,0.946354579813443
12,-6929.900000000025,244,1,0.9416228069143757
13,-2643.4999999999927,200,1,0.9369146928798039
14,-3462.3999999999974,177,1,0.9322301194154049
15,-2898.799999999989,243,1,0.9275689688183278
16,-1628.399999999995,177,1,0.9229311239742362
17,-4435.900000000017,202,1,0.918316468354365
18,-3176.2999999999915,184,1,0.9137248860125932
19,-1568.2999999999938,175,1,0.9091562615825302
20,-5761.900000000022,300,0,0.9046104802746175
21,-1347.3999999999946,147,1,0.9000874278732445
22,-3407.8999999999974,205,1,0.8955869907338783
23,739.2999999999997,31,1,0.8911090557802088
24,-6639.400000000009,300,0,0.8866535105013078
25,-1881.299999999996,126,1,0.8822202429488013
26,-1774.0999999999972,132,1,0.8778091417340573
27,99.19999999999948,83,1,0.8734200960253871
28,-2205.6999999999935,183,1,0.8690529955452602
29,396.69999999999914,65,1,0.8647077305675338
30,543.2999999999995,47,1,0.8603841919146962
31,-3602.5000000000014,212,1,0.8560822709551227
32,565.1999999999997,68,1,0.851801859600347
33,637.3999999999993,57,1,0.8475428503023453
34,-6186.900000000012,300,0,0.8433051360508336
35,119.99999999999943,59,1,0.8390886103705794
36,-94.9000000000002,77,1,0.8348931673187264
37,-1939.299999999996,134,1,0.8307187014821328
38,-248.5999999999998,92,1,0.8265651079747222
39,-1619.6999999999966,123,1,0.8224322824348486
40,523.3999999999995,68,1,0.8183201210226743
41,0.2999999999993861,60,1,0.8142285204175609
42,404.89999999999964,48,1,0.810157377815473
43,403.1999999999995,53,1,0.8061065909263957
44,127.19999999999936,66,1,0.8020760579717637
45,293.499999999999,77,1,0.798065677681905
46,441.8999999999995,60,1,0.7940753492934954
47,-1672.199999999994,143,1,0.7901049725470279
48,47.69999999999959,69,1,0.7861544476842928
49,-1341.1999999999948,139,1,0.7822236754458713
50,-836.4999999999985,92,1,0.778312557068642
51,644.7000000000002,50,1,0.7744209942832988
52,336.7999999999996,59,1,0.7705488893118823
53,446.1999999999996,51,1,0.7666961448653229
54,457.59999999999957,46,1,0.7628626641409962
55,-93.8999999999993,80,1,0.7590483508202912
56,-1133.5999999999967,137,1,0.7552531090661897
57,703.3999999999999,35,1,0.7514768435208588
58,519.5999999999997,39,1,0.7477194593032545
59,924.6,32,1,0.7439808620067382
60,-1981.3999999999974,142,1,0.7402609576967045
61,1006.4000000000001,31,1,0.736559652908221
62,1107.5,23,1,0.7328768546436799
63,1012.2,23,1,0.7292124703704616
64,1010.5,26,1,0.7255664080186093
65,718.7,38,1,0.7219385759785162
66,364.59999999999957,52,1,0.7183288830986236
67,824.0,28,1,0.7147372386831305
68,-690.2999999999994,107,1,0.7111635524897149
69,593.8999999999997,50,1,0.7076077347272662
70,418.99999999999966,43,1,0.7040696960536299
71,742.7999999999998,33,1,0.7005493475733617
72,695.0,40,1,0.697046600835495
73,582.6999999999998,53,1,0.6935613678313175
74,778.2,55,1,0.6900935609921609
75,621.3,41,1,0.6866430931872001
76,763.5000000000001,49,1,0.6832098777212641
77,295.1999999999995,56,1,0.6797938283326578
78,1090.5,24,1,0.6763948591909945
79,495.6999999999996,71,1,0.6730128848950395
80,855.8000000000001,39,1,0.6696478204705644
81,216.09999999999934,73,1,0.6662995813682115
82,520.1999999999997,42,1,0.6629680834613705
83,841.5000000000001,56,1,0.6596532430440636
84,712.4999999999999,41,1,0.6563549768288433
85,1004.0,25,1,0.653073201944699
86,603.6999999999999,49,1,0.6498078359349755
87,891.0,26,1,0.6465587967553006
88,633.3999999999997,47,1,0.6433260027715241
89,252.0999999999998,62,1,0.6401093727576664
90,-65.59999999999957,80,1,0.6369088258938781
91,1033.1,29,1,0.6337242817644086
92,864.9,32,1,0.6305556603555866
93,985.1,27,1,0.6274028820538087
94,398.6999999999996,51,1,0.6242658676435396
95,815.5,38,1,0.6211445383053219
96,905.0000000000001,38,1,0.6180388156137953
97,708.4999999999998,49,1,0.6149486215357263
98,867.7,45,1,0.6118738784280476
99,1072.7,33,1,0.6088145090359074
100,876.1000000000001,40,1,0.6057704364907278
101,270.3999999999995,49,1,0.6027415843082742
102,404.09999999999957,74,1,0.5997278763867329
103,864.9000000000001,33,1,0.5967292370047992
104,1060.5,25,1,0.5937455908197752
105,253.1999999999996,55,1,0.5907768628656763
106,911.8,37,1,0.5878229785513479
107,604.8999999999996,37,1,0.5848838636585911
108,883.8000000000001,40,1,0.5819594443402982
109,856.1999999999999,49,1,0.5790496471185967
110,1014.5999999999999,19,1,0.5761543988830038
111,959.0,26,1,0.5732736268885887
112,728.4000000000001,35,1,0.5704072587541458
113,942.1999999999999,24,1,0.567555222460375
114,1162.2,20,1,0.5647174463480732
115,1228.7,19,1,0.5618938591163328
116,1062.2,22,1,0.5590843898207511
117,968.6,43,1,0.5562889678716474
118,1011.1999999999999,42,1,0.5535075230322891
119,922.0,27,1,0.5507399854171277
120,305.7999999999996,56,1,0.547986285490042
121,1018.4,40,1,0.5452463540625918
122,880.1000000000001,60,1,0.5425201222922789
123,1059.0,24,1,0.5398075216808175
124,860.2,26,1,0.5371084840724134
125,856.5999999999999,39,1,0.5344229416520513
126,749.1999999999999,46,1,0.531750826943791
127,804.3000000000001,38,1,0.5290920728090721
128,1160.2,20,1,0.5264466124450268
129,942.2,24,1,0.5238143793828016
130,1088.2,22,1,0.5211953074858876
131,1011.5,34,1,0.5185893309484582
132,892.6000000000001,49,1,0.5159963842937159
133,838.0000000000001,38,1,0.5134164023722473
134,938.6,42,1,0.510849320360386
135,928.4000000000001,31,1,0.5082950737585841
136,1032.0,25,1,0.5057535983897912
137,1164.6,16,1,0.5032248303978422
138,1061.0,32,1,0.500708706245853
139,1111.7,22,1,0.4982051627146237
140,960.1999999999999,24,1,0.49571413690105054
141,806.3,30,1,0.4932355662165453
142,859.1,31,1,0.4907693883854626
143,1017.5999999999999,29,1,0.4883155414435353
144,1128.7,21,1,0.4858739637363176
145,1032.0,34,1,0.483444593917636
146,1063.3999999999999,20,1,0.4810273709480478
147,910.2,25,1,0.47862223409330756
148,820.2,38,1,0.47622912292284103
149,883.7,44,1,0.4738479773082268
150,963.4,22,1,0.47147873742168567
151,1064.6,18,1,0.46912134373457726
152,814.6,23,1,0.46677573701590436
153,1102.5,23,1,0.46444185833082485
154,963.4,22,1,0.46211964903917074
155,798.1,39,1,0.4598090507939749
156,1194.3,24,1,0.457510005540005
157,1058.5,33,1,0.45522245551230495
158,988.1,29,1,0.4529463432347434
159,1014.5999999999999,19,1,0.4506816115185697
160,831.7,45,1,0.4484282034609769
161,1245.2,19,1,0.446186062443672
162,1225.5,21,1,0.4439551321314536
163,862.9000000000001,44,1,0.4417353564707963
164,634.2999999999998,41,1,0.43952667968844233
165,773.8000000000001,51,1,0.43732904629000013
166,759.3000000000001,49,1,0.4351424010585501
167,1213.4,17,1,0.43296668905325736
168,664.3999999999999,48,1,0.43080185560799106
169,1002.8,27,1,0.4286478463299511
170,971.1,29,1,0.42650460709830135
171,1032.8,24,1,0.42437208406280985
172,1278.7,18,1,0.4222502236424958
173,1062.6,18,1,0.42013897252428334
174,1116.6,26,1,0.4180382776616619
175,932.5,36,1,0.4159480862733536
176,1108.7,30,1,0.41386834584198684
177,925.7,31,1,0.4117990041127769
178,974.5999999999999,30,1,0.40974000909221303
179,605.7999999999995,51,1,0.40769130904675194
180,1242.8,23,1,0.40565285250151817
181,1139.4,31,1,0.4036245882390106
182,1070.3000000000002,38,1,0.4016064652978155
183,928.5,27,1,0.3995984329713264
184,1129.0,22,1,0.3976004408064698
185,1144.0,22,1,0.39561243860243744
186,1057.6,28,1,0.3936343764094253
187,1154.6,26,1,0.39166620452737816
188,1327.0,20,1,0.3897078735047413
189,1089.8,25,1,0.3877593341372176
190,1145.2,21,1,0.3858205374665315
191,888.4,33,1,0.38389143477919885
192,1214.6,15,1,0.3819719776053028
193,1066.6,27,1,0.3800621177172763
194,694.5999999999999,42,1,0.37816180712868996
195,1191.0,21,1,0.37627099809304654
196,1101.9,29,1,0.3743896431025813
197,1162.2,20,1,0.37251769488706843
198,1208.7,19,1,0.3706551064126331
199,1138.1,27,1,0.36880183088056995
