episodio,recompensa,passos,sucesso,epsilon
0,776.9000000000001,17,1,1.0
1,-2894.0999999999963,100,0,0.9997
2,-202.0999999999999,73,1,0.9994000900000001
3,-2027.9999999999966,100,0,0.999100269973
4,-2161.4999999999973,100,0,0.9988005398920082
5,-329.8999999999994,85,1,0.9985008997300406
6,762.3000000000001,22,1,0.9982013494601216
7,-2828.699999999996,100,0,0.9979018890552837
8,-2366.0999999999967,100,0,0.9976025184885671
9,-2437.999999999997,100,0,0.9973032377330205
10,-1698.8999999999983,100,0,0.9970040467617006
11,-1750.3999999999992,100,0,0.9967049455476722
12,-2379.7999999999965,100,0,0.9964059340640079
13,-3022.699999999998,100,0,0.9961070122837887
14,-762.899999999998,66,1,0.9958081801801036
15,-1767.4999999999975,100,0,0.9955094377260496
16,-2507.599999999997,100,0,0.9952107848947318
17,-222.49999999999955,67,1,0.9949122216592634
18,-550.0999999999985,61,1,0.9946137479927657
19,-2562.8999999999974,100,0,0.9943153638683679
20,-2348.299999999997,100,0,0.9940170692592074
21,35.899999999999636,39,1,0.9937188641384297
22,-150.5,45,1,0.9934207484791882
23,-1777.0999999999976,100,0,0.9931227222546445
24,125.69999999999936,59,1,0.9928247854379681
25,-1681.0999999999967,100,0,0.9925269380023368
26,-504.2999999999986,69,1,0.9922291799209362
27,502.0999999999993,49,1,0.9919315111669599
28,-1922.899999999997,100,0,0.9916339317136098
29,-28.10000000000082,82,1,0.9913364415340957
30,-1437.5999999999983,100,0,0.9910390406016355
31,-1121.6999999999975,92,1,0.990741728889455
32,-2205.7999999999965,100,0,0.9904445063707882
33,-1443.699999999997,100,0,0.990147373018877
34,-2311.1999999999975,100,0,0.9898503288069713
35,-189.89999999999804,81,1,0.9895533737083293
36,-1488.5999999999972,100,0,0.9892565076962169
37,-2137.2999999999965,100,0,0.9889597307439081
38,-1973.9999999999966,100,0,0.988663042824685
39,-903.8999999999978,84,1,0.9883664439118376
40,632.3,25,1,0.988069933978664
41,-1913.2999999999975,100,0,0.9877735129984705
42,-1885.299999999997,100,0,0.9874771809445709
43,-2631.099999999997,100,0,0.9871809377902876
44,764.9000000000001,35,1,0.9868847835089506
45,594.0999999999997,28,1,0.9865887180738979
46,-3093.2999999999965,100,0,0.9862927414584758
47,21.099999999999,65,1,0.9859968536360383
48,-53.30000000000064,54,1,0.9857010545799475
49,-2102.8999999999983,100,0,0.9854053442635735
50,-2350.099999999997,100,0,0.9851097226602945
51,-2198.9999999999977,100,0,0.9848141897434964
52,285.2999999999994,51,1,0.9845187454865735
53,166.6999999999997,46,1,0.9842233898629276
54,-710.8999999999967,98,1,0.9839281228459688
55,608.6999999999999,21,1,0.983632944409115
56,-167.30000000000018,45,1,0.9833378545257923
57,-396.4999999999991,60,1,0.9830428531694345
58,-1697.1999999999966,100,0,0.9827479403134837
59,-2436.8999999999965,100,0,0.9824531159313896
60,-2406.999999999997,100,0,0.9821583799966103
61,-75.30000000000018,69,1,0.9818637324826113
62,-2464.099999999996,100,0,0.9815691733628665
63,-2441.1999999999966,100,0,0.9812747026108577
64,-597.0999999999992,80,1,0.9809803202000744
65,-2279.399999999996,100,0,0.9806860261040145
66,-1630.699999999997,93,1,0.9803918202961833
67,-256.3000000000002,78,1,0.9800977027500946
68,-408.8999999999992,74,1,0.9798036734392696
69,479.2999999999995,58,1,0.9795097323372378
70,178.49999999999932,48,1,0.9792158794175366
71,1028.7,14,1,0.9789221146537114
72,-1828.9999999999986,100,0,0.9786284380193153
73,131.2999999999995,43,1,0.9783348494879096
74,-2886.8999999999974,100,0,0.9780413490330633
75,-179.69999999999914,55,1,0.9777479366283534
76,-2097.4999999999973,100,0,0.9774546122473649
77,217.4999999999992,60,1,0.9771613758636907
78,-1915.299999999997,100,0,0.9768682274509316
79,-1880.799999999998,100,0,0.9765751669826963
80,-2046.8999999999953,100,0,0.9762821944326016
81,-2157.7999999999965,100,0,0.9759893097742718
82,-2597.199999999998,100,0,0.9756965129813395
83,-77.09999999999945,68,1,0.9754038040274452
84,607.6999999999999,29,1,0.975111182886237
85,-1665.2999999999975,96,1,0.9748186495313712
86,-2515.8999999999955,100,0,0.9745262039365118
87,652.3,24,1,0.9742338460753309
88,-2079.6999999999957,100,0,0.9739415759215083
89,21.699999999998568,96,1,0.9736493934487319
90,292.2999999999997,32,1,0.9733572986306973
91,-2771.8999999999965,100,0,0.9730652914411081
92,-342.0999999999972,72,1,0.9727733718536757
