episodio,recompensa,passos,sucesso,epsilon
0,-1739.9999999999964,100,0,1.0
1,-1671.499999999999,100,0,0.9997
2,-103.69999999999936,46,1,0.9994000900000001
3,-1850.7999999999977,100,0,0.999100269973
4,336.69999999999936,47,1,0.9988005398920082
5,203.89999999999952,57,1,0.9985008997300406
6,-1746.799999999998,100,0,0.9982013494601216
7,-1620.0999999999972,100,0,0.9979018890552837
8,-2361.899999999998,100,0,0.9976025184885671
9,-1058.6000000000004,100,0,0.9973032377330205
10,-2455.899999999996,100,0,0.9970040467617006
11,628.6999999999998,21,1,0.9967049455476722
12,-2211.199999999995,100,0,0.9964059340640079
13,-792.4999999999977,75,1,0.9961070122837887
14,-126.89999999999827,49,1,0.9958081801801036
15,-738.2999999999981,63,1,0.9955094377260496
16,-2822.2999999999975,100,0,0.9952107848947318
17,83.2999999999987,75,1,0.9949122216592634
18,358.0999999999998,41,1,0.9946137479927657
19,-1465.7999999999993,100,0,0.9943153638683679
20,-15.50000000000091,92,1,0.9940170692592074
21,-1132.4000000000012,100,0,0.9937188641384297
22,885.9000000000001,24,1,0.9934207484791882
23,-2407.5999999999995,100,0,0.9931227222546445
24,20.2999999999995,52,1,0.9928247854379681
25,-2659.799999999996,100,0,0.9925269380023368
26,-1054.2999999999984,73,1,0.9922291799209362
27,-1570.3999999999958,100,0,0.9919315111669599
28,-681.6999999999971,82,1,0.9916339317136098
29,-2198.699999999997,100,0,0.9913364415340957
30,-1812.9999999999995,100,0,0.9910390406016355
31,-2460.8999999999965,100,0,0.990741728889455
32,-490.6999999999973,66,1,0.9904445063707882
33,665.8999999999996,28,1,0.990147373018877
34,367.0999999999992,52,1,0.9898503288069713
35,-2290.0999999999976,100,0,0.9895533737083293
36,-1786.499999999995,100,0,0.9892565076962169
37,276.69999999999936,45,1,0.9889597307439081
38,142.29999999999973,35,1,0.988663042824685
39,-2647.5999999999963,100,0,0.9883664439118376
40,831.3000000000001,31,1,0.988069933978664
41,-2535.8999999999965,100,0,0.9877735129984705
42,124.69999999999914,66,1,0.9874771809445709
43,-2226.9999999999973,100,0,0.9871809377902876
