episodio,recompensa,passos,sucesso,epsilon
9144,1028.7,14,1,0.06433756766307956
9145,1028.7,14,1,0.06431826639278064
9146,1025.1,10,1,0.06429897091286281
9147,1025.1,10,1,0.06427968122158895
9148,1025.1,10,1,0.06426039731722247
9149,1025.1,10,1,0.0642411191980273
9150,1025.1,10,1,0.0642218468622679
9151,1025.1,10,1,0.06420258030820922
9152,1026.9,12,1,0.06418331953411675
9153,1026.9,12,1,0.06416406453825652
9154,1025.1,10,1,0.06414481531889504
9155,1026.9,12,1,0.06412557187429938
9156,1026.9,12,1,0.06410633420273709
9157,1030.5,16,1,0.06408710230247627
9158,1026.9,12,1,0.06406787617178553
9159,975.1,11,1,0.064048655808934
9160,1025.1,10,1,0.06402944121219133
9161,1025.1,10,1,0.06401023237982767
9162,1028.7,14,1,0.06399102931011372
9163,1025.1,10,1,0.06397183200132069
9164,980.5,17,1,0.06395264045172029
9165,1023.3,8,1,0.06393345465958478
9166,1023.3,8,1,0.0639142746231869
9167,1023.3,8,1,0.06389510034079994
9168,1023.3,8,1,0.0638759318106977
9169,1023.3,8,1,0.06385676903115449
9170,1023.3,8,1,0.06383761200044515
9171,1023.3,8,1,0.06381846071684502
9172,1023.3,8,1,0.06379931517862997
9173,1023.3,8,1,0.06378017538407638
9174,1023.3,8,1,0.06376104133146115
9175,1023.3,8,1,0.06374191301906172
9176,1023.3,8,1,0.06372279044515601
9177,1023.3,8,1,0.06370367360802247
9178,1023.3,8,1,0.06368456250594007
9179,1023.3,8,1,0.06366545713718828
9180,1023.3,8,1,0.06364635750004713
9181,1023.3,8,1,0.06362726359279712
9182,1023.3,8,1,0.06360817541371928
9183,1023.3,8,1,0.06358909296109518
9184,985.1,10,1,0.06357001623320685
9185,983.3,8,1,0.06355094522833689
9186,973.3,9,1,0.06353187994476839
9187,1023.3,8,1,0.06351282038078496
9188,1023.3,8,1,0.06349376653467072
9189,1023.3,8,1,0.06347471840471032
9190,1023.3,8,1,0.06345567598918891
9191,1023.3,8,1,0.06343663928639216
9192,1026.9,12,1,0.06341760829460624
9193,1023.3,8,1,0.06339858301211786
9194,1025.1,10,1,0.06337956343721422
9195,973.3,9,1,0.06336054956818306
9196,1023.3,8,1,0.0633415414033126
9197,1023.3,8,1,0.06332253894089161
9198,1023.3,8,1,0.06330354217920935
9199,1023.3,8,1,0.06328455111655558
9200,1023.3,8,1,0.06326556575122061
9201,1023.3,8,1,0.06324658608149525
9202,985.1,10,1,0.06322761210567081
9203,1003.3,8,1,0.06320864382203911
9204,1023.3,8,1,0.0631896812288925
9205,1023.3,8,1,0.06317072432452384
9206,1023.3,8,1,0.06315177310722649
9207,1023.3,8,1,0.06313282757529431
9208,1023.3,8,1,0.06311388772702173
9209,1023.3,8,1,0.06309495356070362
9210,1023.3,8,1,0.0630760250746354
9211,1025.1,10,1,0.06305710226711302
9212,1023.3,8,1,0.06303818513643289
9213,1023.3,8,1,0.06301927368089197
9214,1023.3,8,1,0.0630003678987877
9215,1023.3,8,1,0.06298146778841807
9216,1023.3,8,1,0.06296257334808154
9217,1023.3,8,1,0.06294368457607712
9218,1023.3,8,1,0.0629248014707043
9219,1025.1,10,1,0.06290592403026309
9220,1025.1,10,1,0.06288705225305401
9221,1023.3,8,1,0.06286818613737809
9222,1005.1,10,1,0.06284932568153688
9223,1003.3,8,1,0.06283047088383242
9224,1025.1,10,1,0.06281162174256727
9225,973.3,9,1,0.0627927782560445
9226,1023.3,8,1,0.06277394042256769
9227,1005.1,10,1,0.06275510824044092
9228,953.3,9,1,0.06273628170796879
9229,1005.1,10,1,0.0627174608234564
9230,1003.3,8,1,0.06269864558520936
9231,1023.3,8,1,0.0626798359915338
9232,1025.1,10,1,0.06266103204073635
9233,1023.3,8,1,0.06264223373112413
9234,1023.3,8,1,0.06262344106100479
9235,1023.3,8,1,0.0626046540286865
9236,1023.3,8,1,0.06258587263247789
9237,1025.1,10,1,0.06256709687068815
9238,1023.3,8,1,0.06254832674162694
9239,1023.3,8,1,0.06252956224360445
9240,1023.3,8,1,0.06251080337493137
9241,1023.3,8,1,0.06249205013391889
9242,1023.3,8,1,0.06247330251887872
9243,985.1,10,1,0.06245456052812306
9244,983.3,8,1,0.062435824159964626
9245,1023.3,8,1,0.06241709341271664
9246,1023.3,8,1,0.06239836828469283
9247,1023.3,8,1,0.06237964877420742
9248,1005.1,10,1,0.06236093487957516
9249,985.1,10,1,0.06234222659911129
9250,1003.3,8,1,0.06232352393113156
9251,1025.1,10,1,0.062304826873952224
9252,1023.3,8,1,0.06228613542589004
9253,1023.3,8,1,0.06226744958526227
9254,956.9,13,1,0.062248769350386694
9255,973.3,9,1,0.06223009471958158
9256,1023.3,8,1,0.06221142569116571
9257,1025.1,10,1,0.06219276226345836
9258,1023.3,8,1,0.062174104434779325
9259,1023.3,8,1,0.06215545220344889
9260,1023.3,8,1,0.062136805567787855
9261,1023.3,8,1,0.06211816452611752
